mês,data,cod_filial,cargo,faixa,quantidade,faltaEsperada
2024-05,2024-05-23,2,motorista,till 8,3,1.0
2024-05,2024-05-23,2,motorista,till 9,3,1.0
2024-05,2024-05-23,2,vigilante,over 10,2,0.861
2024-05,2024-05-23,2,vigilante,till 10,2,0.861
2024-05,2024-05-23,2,vigilante,till 8,2,0.861
2024-05,2024-05-23,2,vigilante,till 9,2,0.861
2024-05,2024-05-23,4,motorista,over 10,11,1.699
2024-05,2024-05-23,4,motorista,till 10,11,1.699
2024-05,2024-05-23,4,motorista,till 8,11,1.699
2024-05,2024-05-23,4,motorista,till 9,11,1.699
2024-05,2024-05-23,4,vigilante,over 10,0,0.0
2024-05,2024-05-23,4,vigilante,till 10,0,0.0
2024-05,2024-05-23,4,vigilante,till 8,0,0.0
2024-05,2024-05-23,4,vigilante,till 9,0,0.0
2024-05,2024-05-24,2,motorista,over 10,3,1.0
2024-05,2024-05-24,2,motorista,till 10,3,1.0
2024-05,2024-05-24,2,motorista,till 8,3,1.0
2024-05,2024-05-24,2,motorista,till 9,3,1.0
2024-05,2024-05-24,2,vigilante,over 10,2,0.853
2024-05,2024-05-24,2,vigilante,till 10,2,0.853
2024-05,2024-05-24,2,vigilante,till 8,2,0.853
2024-05,2024-05-24,2,vigilante,till 9,2,0.853
2024-05,2024-05-24,4,motorista,over 10,10,0.685
2024-05,2024-05-24,4,motorista,till 10,10,0.685
2024-05,2024-05-24,4,motorista,till 8,10,0.685
2024-05,2024-05-24,4,motorista,till 9,10,0.685
2024-05,2024-05-24,4,vigilante,over 10,0,0.0
2024-05,2024-05-24,4,vigilante,till 10,0,0.0
2024-05,2024-05-24,4,vigilante,till 8,0,0.0
2024-05,2024-05-24,4,vigilante,till 9,0,0.0
2024-05,2024-05-27,2,motorista,over 10,3,1.0
2024-05,2024-05-27,2,motorista,till 10,3,1.0
2024-05,2024-05-27,2,motorista,till 8,3,1.0
2024-05,2024-05-27,2,motorista,till 9,3,1.0
2024-05,2024-05-27,2,vigilante,over 10,2,0.858
2024-05,2024-05-27,2,vigilante,till 10,2,0.858
2024-05,2024-05-27,2,vigilante,till 8,2,0.858
2024-05,2024-05-27,2,vigilante,till 9,2,0.858
2024-05,2024-05-27,4,motorista,over 10,12,2.716
2024-05,2024-05-27,4,motorista,till 10,12,2.716
2024-05,2024-05-27,4,motorista,till 8,12,2.716
2024-05,2024-05-27,4,motorista,till 9,12,2.716
2024-05,2024-05-27,4,vigilante,over 10,0,0.0
2024-05,2024-05-27,4,vigilante,till 10,0,0.0
2024-05,2024-05-27,4,vigilante,till 8,0,0.0
2024-05,2024-05-27,4,vigilante,till 9,0,0.0
2024-05,2024-05-28,2,motorista,over 10,3,1.0
2024-05,2024-05-28,2,motorista,till 10,3,1.0
2024-05,2024-05-28,2,motorista,till 8,3,1.0
2024-05,2024-05-28,2,motorista,till 9,3,1.0
2024-05,2024-05-28,2,vigilante,over 10,1,0.0
2024-05,2024-05-28,2,vigilante,till 10,1,0.0
2024-05,2024-05-28,2,vigilante,till 8,1,0.0
2024-05,2024-05-28,2,vigilante,till 9,1,0.0
2024-05,2024-05-28,4,motorista,over 10,11,1.71
2024-05,2024-05-28,4,motorista,till 10,11,1.71
2024-05,2024-05-28,4,motorista,till 8,11,1.71
2024-05,2024-05-28,4,motorista,till 9,11,1.71
2024-05,2024-05-28,4,vigilante,over 10,0,0.0
2024-05,2024-05-28,4,vigilante,till 10,0,0.0
2024-05,2024-05-28,4,vigilante,till 8,0,0.0
2024-05,2024-05-28,4,vigilante,till 9,0,0.0
2024-05,2024-05-29,2,motorista,over 10,4,2.0
2024-05,2024-05-29,2,motorista,till 10,4,2.0
2024-05,2024-05-29,2,motorista,till 8,4,2.0
2024-05,2024-05-29,2,motorista,till 9,4,2.0
2024-05,2024-05-29,2,vigilante,over 10,2,0.852
2024-05,2024-05-29,2,vigilante,till 10,2,0.852
2024-05,2024-05-29,2,vigilante,till 8,2,0.852
2024-05,2024-05-29,2,vigilante,till 9,2,0.852
2024-05,2024-05-29,4,motorista,over 10,11,1.74
2024-05,2024-05-29,4,motorista,till 10,11,1.74
2024-05,2024-05-29,4,motorista,till 8,11,1.74
2024-05,2024-05-29,4,motorista,till 9,11,1.74
2024-05,2024-05-29,4,vigilante,over 10,0,0.0
2024-05,2024-05-29,4,vigilante,till 10,0,0.0
2024-05,2024-05-29,4,vigilante,till 8,0,0.0
2024-05,2024-05-29,4,vigilante,till 9,0,0.0
2024-05,2024-05-30,2,motorista,over 10,3,1.0
2024-05,2024-05-30,2,motorista,till 10,3,1.0
2024-05,2024-05-30,2,motorista,till 8,3,1.0
2024-05,2024-05-30,2,motorista,till 9,3,1.0
2024-05,2024-05-30,2,vigilante,over 10,2,0.852
2024-05,2024-05-30,2,vigilante,till 10,2,0.852
2024-05,2024-05-30,2,vigilante,till 8,2,0.852
2024-05,2024-05-30,2,vigilante,till 9,2,0.852
2024-05,2024-05-30,4,motorista,over 10,11,1.729
2024-05,2024-05-30,4,motorista,till 10,11,1.729
2024-05,2024-05-30,4,motorista,till 8,11,1.729
2024-05,2024-05-30,4,motorista,till 9,11,1.729
2024-05,2024-05-30,4,vigilante,over 10,0,0.0
2024-05,2024-05-30,4,vigilante,till 10,0,0.0
2024-05,2024-05-30,4,vigilante,till 8,0,0.0
2024-05,2024-05-30,4,vigilante,till 9,0,0.0
2024-05,2024-05-31,2,motorista,over 10,3,1.0
2024-05,2024-05-31,2,motorista,till 10,3,1.0
2024-05,2024-05-31,2,motorista,till 8,3,1.0
2024-05,2024-05-31,2,motorista,till 9,3,1.0
2024-05,2024-05-31,2,vigilante,over 10,2,0.852
2024-05,2024-05-31,2,vigilante,till 10,2,0.852
2024-05,2024-05-31,2,vigilante,till 8,2,0.852
2024-05,2024-05-31,2,vigilante,till 9,2,0.852
2024-05,2024-05-31,4,motorista,over 10,12,2.667
2024-05,2024-05-31,4,motorista,till 10,12,2.667
2024-05,2024-05-31,4,motorista,till 8,12,2.667
2024-05,2024-05-31,4,motorista,till 9,12,2.667
2024-05,2024-05-31,4,vigilante,over 10,0,0.0
2024-05,2024-05-31,4,vigilante,till 10,0,0.0
2024-05,2024-05-31,4,vigilante,till 8,0,0.0
2024-05,2024-05-31,4,vigilante,till 9,0,0.0
